Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
ERR562364_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 4.8087858440885836e-05)	(5, 4.8087858440885836e-05)	(6, 9.617571688177167e-05)	(7, 0.00019235143376354334)	(8, 0.00019235143376354334)	(9, 0.00019235143376354334)	(12, 0.0002692920072689607)	(17, 0.00048087858440885834)	(22, 0.0006924651615487561)	(27, 0.007751762780670797)	(32, 0.0124259026211249)	(37, 0.012849075775404695)	(42, 0.013079897495920947)	(47, 0.013262631357996314)	(52, 0.013349189503189909)	(57, 0.013512688221888922)	(62, 0.01375312751409335)	(67, 0.014176300668373146)	(72, 0.014435975103953929)	(77, 0.014888000973298255)	(82, 0.01528232141251352)	(87, 0.01583052299873962)	(92, 0.01662878144885832)	(97, 0.01763862647611692)	(102, 0.019398642095053344)	(107, 0.021649153870086806)	(112, 0.025178802679647828)	(117, 0.03124749041488762)	(122, 0.040105273939698795)	(127, 0.06602462963933625)	(132, 2.910142546838776)	(137, 4.496868759097621)	(140, 4.9494428300281745)
ERR562364_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 4.8087858440885836e-05)	(5, 4.8087858440885836e-05)	(6, 4.8087858440885836e-05)	(7, 9.617571688177167e-05)	(8, 9.617571688177167e-05)	(9, 9.617571688177167e-05)	(12, 0.00017311629038718903)	(17, 0.0004231731542797953)	(22, 0.0006828475898605789)	(27, 0.007982584501187048)	(32, 0.01286831091878105)	(37, 0.013454982791759856)	(42, 0.013849303230975121)	(47, 0.014426357532265751)	(52, 0.01473411982628742)	(57, 0.015061117263685444)	(62, 0.015263086269137166)	(67, 0.015638171564976076)	(72, 0.01609981500600858)	(77, 0.016648016592234676)	(82, 0.017157747891708066)	(87, 0.01792715362676224)	(92, 0.018850440508827247)	(97, 0.020033401826473042)	(102, 0.021947298592420294)	(107, 0.024188192795765572)	(112, 0.027563960458315762)	(117, 0.0334018264730393)	(122, 0.04160561512305442)	(127, 0.06425499644871166)	(132, 2.478746368765589)	(137, 3.823398301633015)	(140, 4.181816345736314)
ERR562378_1 - illumina_universal_adapter	(1, 4.528433809467959e-05)	(2, 9.056867618935918e-05)	(3, 9.056867618935918e-05)	(4, 9.056867618935918e-05)	(5, 0.00013585301428403876)	(6, 0.00013585301428403876)	(7, 0.00013585301428403876)	(8, 0.00013585301428403876)	(9, 0.0002717060285680775)	(12, 0.0003713315723763726)	(17, 0.0004890708514225395)	(22, 0.0006249238657065784)	(27, 0.007399460844670645)	(32, 0.011746757301759886)	(37, 0.01195506525699541)	(42, 0.01200034959509009)	(47, 0.012009406462709028)	(52, 0.012127145741755194)	(57, 0.012262998756039234)	(62, 0.013313595399835797)	(67, 0.01486231976267384)	(72, 0.015170253261717661)	(77, 0.015695551583615942)	(82, 0.016075940023611256)	(87, 0.01670992075693677)	(92, 0.017271446549310794)	(97, 0.018213360781680128)	(102, 0.019671516468328813)	(107, 0.02191761963782492)	(112, 0.02447165630636485)	(117, 0.03044013206724362)	(122, 0.03792110472048469)	(127, 0.055826532003121)	(132, 1.6461219172120785)	(137, 2.5474070414428676)	(140, 2.7743902577086397)
ERR562378_2 - illumina_universal_adapter	(1, 0.00031699036666275714)	(2, 0.00031699036666275714)	(3, 0.00031699036666275714)	(4, 0.00031699036666275714)	(5, 0.00031699036666275714)	(6, 0.00031699036666275714)	(7, 0.00031699036666275714)	(8, 0.00031699036666275714)	(9, 0.0004981277190414755)	(12, 0.0005524689247550909)	(17, 0.000661151336182322)	(22, 0.0007517200123716811)	(27, 0.0073813471094327735)	(32, 0.011583733684619039)	(37, 0.011773927904616694)	(42, 0.011819212242711373)	(47, 0.01187355344842499)	(52, 0.01200034959509009)	(57, 0.012208657550325618)	(62, 0.01239885177032327)	(67, 0.012598102857939861)	(72, 0.012878865754126875)	(77, 0.013331709135073668)	(82, 0.01377549564840153)	(87, 0.014282680235061943)	(92, 0.01488949036553065)	(97, 0.015758949656948497)	(102, 0.01705408172645633)	(107, 0.01894696705881394)	(112, 0.021138729022596434)	(117, 0.026283029830152033)	(122, 0.032559439090074624)	(127, 0.048064796453692916)	(132, 1.190697328993886)	(137, 1.825004109553682)	(140, 1.9376262583951502)
ERR562385_1 - illumina_universal_adapter	(1, 4.4032825590821444e-05)	(2, 4.4032825590821444e-05)	(3, 4.4032825590821444e-05)	(4, 4.4032825590821444e-05)	(5, 4.4032825590821444e-05)	(6, 4.4032825590821444e-05)	(7, 4.4032825590821444e-05)	(8, 4.4032825590821444e-05)	(9, 0.00030822977913575015)	(12, 0.00041390856055372155)	(17, 0.0007485580350439646)	(22, 0.0011536600304795218)	(27, 0.005477683503498187)	(32, 0.008128459604065639)	(37, 0.008348623732019746)	(42, 0.008489528773910373)	(47, 0.008639240380919167)	(52, 0.00872730603210081)	(57, 0.008850597943755112)	(62, 0.009114794897300039)	(67, 0.00944944437179028)	(72, 0.009607962543917239)	(77, 0.009995451409116469)	(82, 0.010761622574396761)	(87, 0.011483760914086231)	(92, 0.012241125514248361)	(97, 0.013192234547010106)	(102, 0.014398733968198612)	(107, 0.016415437380258236)	(112, 0.019673866473979017)	(117, 0.023742499558570926)	(122, 0.03246980559067173)	(127, 0.04540664974925508)	(132, 3.657551431441111)	(137, 5.933203084235236)	(140, 6.208804539608187)
ERR562385_2 - illumina_universal_adapter	(1, 8.806565118164289e-05)	(2, 8.806565118164289e-05)	(3, 8.806565118164289e-05)	(4, 8.806565118164289e-05)	(5, 8.806565118164289e-05)	(6, 8.806565118164289e-05)	(7, 8.806565118164289e-05)	(8, 8.806565118164289e-05)	(9, 0.00035226260472657155)	(12, 0.00045794138614454306)	(17, 0.0008366236862256075)	(22, 0.0011184337700068645)	(27, 0.005380811287198381)	(32, 0.008040393952883996)	(37, 0.008260558080838103)	(42, 0.008401463122728731)	(47, 0.008551174729737524)	(52, 0.00866566007627366)	(57, 0.008894630769345931)	(62, 0.00909718176706371)	(67, 0.009290926199663324)	(72, 0.009484670632262939)	(77, 0.010004257974234631)	(82, 0.010858494790696569)	(87, 0.01155421343503155)	(92, 0.012241125514248361)	(97, 0.01306013607023764)	(102, 0.014020051668117548)	(107, 0.015543587433559969)	(112, 0.017912553450346164)	(117, 0.020624975506740764)	(122, 0.027353191257018284)	(127, 0.035287906428484304)	(132, 1.7787324094365868)	(137, 2.8551940900902806)	(140, 2.9714671693454036)
ERR562386_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00036347129626787674)	(12, 0.00041193413577026025)	(17, 0.000444242695438516)	(22, 0.0004765512551067717)	(27, 0.003238933106742635)	(32, 0.00504013530824789)	(37, 0.005112829567501466)	(42, 0.005169369546920913)	(47, 0.005233986666257425)	(52, 0.005250140946091553)	(57, 0.005298603785593936)	(62, 0.00546822372385228)	(67, 0.00561361224235943)	(72, 0.00571861506128126)	(77, 0.005791309320534836)	(82, 0.005855926439871347)	(87, 0.006065932077715009)	(92, 0.006348631974812247)	(97, 0.006679794711411868)	(102, 0.007099805987099192)	(107, 0.0080609856372298)	(112, 0.009329096604208836)	(117, 0.01721238516326323)	(122, 0.0457004576507477)	(127, 0.07723361188696529)	(132, 0.6620185418823936)	(137, 1.017751938109723)	(140, 1.46438546696369)
ERR562386_2 - illumina_universal_adapter	(1, 0.00012115709875595891)	(2, 0.00012115709875595891)	(3, 0.00012115709875595891)	(4, 0.00012115709875595891)	(5, 0.00012115709875595891)	(6, 0.00012115709875595891)	(7, 0.00012115709875595891)	(8, 0.00012115709875595891)	(9, 0.00036347129626787674)	(12, 0.0006380940534480502)	(17, 0.0007269425925357535)	(22, 0.0007592511522040091)	(27, 0.00399010711902958)	(32, 0.006146703476885649)	(37, 0.0062678605756416065)	(42, 0.006380940534480503)	(47, 0.006502097633236462)	(52, 0.006590946172324165)	(57, 0.0066717175714948035)	(62, 0.006817106090001955)	(67, 0.006905954629089659)	(72, 0.007010957448011489)	(77, 0.007083651707265064)	(82, 0.007253271645523407)	(87, 0.00748750870311826)	(92, 0.00783482571955201)	(97, 0.008238682715405204)	(102, 0.008844468209185)	(107, 0.009821802139149736)	(112, 0.01102529598679226)	(117, 0.01860973036891529)	(122, 0.04551468343265523)	(127, 0.07527086688711873)	(132, 0.6114556460015734)	(137, 0.9397752293503878)	(140, 1.3671770880618257)
ERR562391_1 - illumina_universal_adapter	(1, 3.88166360338714e-05)	(2, 7.76332720677428e-05)	(3, 0.00011644990810161419)	(4, 0.0001552665441354856)	(5, 0.0001552665441354856)	(6, 0.0001552665441354856)	(7, 0.0001552665441354856)	(8, 0.0001552665441354856)	(9, 0.0005046162684403282)	(12, 0.0008073860295045251)	(17, 0.0012033157170500133)	(22, 0.0017933285847648583)	(27, 0.007398450828055889)	(32, 0.010907474725517863)	(37, 0.01142761764837174)	(42, 0.011808020681503679)	(47, 0.012103027115361101)	(52, 0.01232040027715078)	(57, 0.012584353402181106)	(62, 0.013601349266268539)	(67, 0.015115198071589522)	(72, 0.015503364431928235)	(77, 0.016015744027575336)	(82, 0.016931816637974703)	(87, 0.01867080193229214)	(92, 0.019672271141966024)	(97, 0.021023090075944748)	(102, 0.02278536535188251)	(107, 0.025626743109561895)	(112, 0.030440005977761947)	(117, 0.06320124679034941)	(122, 0.15437376150670654)	(127, 0.24349675784047528)	(132, 1.8215560424886899)	(137, 2.6647543003980645)	(140, 2.958565181865644)
ERR562391_2 - illumina_universal_adapter	(1, 0.0001552665441354856)	(2, 0.00019408318016935698)	(3, 0.00019408318016935698)	(4, 0.00023289981620322838)	(5, 0.00023289981620322838)	(6, 0.0002717164522370998)	(7, 0.0002717164522370998)	(8, 0.0002717164522370998)	(9, 0.000582249540508071)	(12, 0.0008073860295045251)	(17, 0.0011489724266025934)	(22, 0.0018088552391784072)	(27, 0.007196604320679758)	(32, 0.010573651655626569)	(37, 0.011039451288033025)	(42, 0.011443144302785289)	(47, 0.011986577207259487)	(52, 0.012304873622737234)	(57, 0.012739619946316593)	(62, 0.013158839615482403)	(67, 0.013810959100851445)	(72, 0.014307812042084997)	(77, 0.014781375001698228)	(82, 0.01578284421137211)	(87, 0.017638279413791164)	(92, 0.018569878678604077)	(97, 0.019858590994928607)	(102, 0.021465599726730882)	(107, 0.02400420772334607)	(112, 0.02799455790762805)	(117, 0.05531370634826673)	(122, 0.1315418161915834)	(127, 0.1968857412910025)	(132, 1.3630694643110144)	(137, 1.9862783191620264)	(140, 2.1749737502498823)
