Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR1755874_1	(10.0, 1.0)	(11.0, 1.0)	(12.0, 3.0)	(13.0, 4.0)	(14.0, 7.0)	(15.0, 14.0)	(16.0, 67.0)	(17.0, 468.0)	(18.0, 2266.0)	(19.0, 7726.0)	(20.0, 16511.0)	(21.0, 25175.0)	(22.0, 34000.0)	(23.0, 43522.0)	(24.0, 53771.0)	(25.0, 65809.0)	(26.0, 78749.0)	(27.0, 93805.0)	(28.0, 109989.0)	(29.0, 127922.0)	(30.0, 149215.0)	(31.0, 172380.0)	(32.0, 200666.0)	(33.0, 232073.0)	(34.0, 266880.0)	(35.0, 302732.0)	(36.0, 313960.0)	(37.0, 266531.0)	(38.0, 152190.0)	(39.0, 19780.0)	(40.0, 46.0)							
ERR1755874_2	(13.0, 1.0)	(14.0, 0.0)	(15.0, 3.0)	(16.0, 3.0)	(17.0, 30.0)	(18.0, 188.0)	(19.0, 982.0)	(20.0, 3056.0)	(21.0, 5899.0)	(22.0, 9844.0)	(23.0, 15567.0)	(24.0, 23529.0)	(25.0, 33838.0)	(26.0, 46579.0)	(27.0, 62452.0)	(28.0, 82424.0)	(29.0, 107287.0)	(30.0, 138538.0)	(31.0, 179104.0)	(32.0, 225986.0)	(33.0, 276768.0)	(34.0, 327485.0)	(35.0, 362358.0)	(36.0, 363529.0)	(37.0, 301623.0)	(38.0, 153209.0)	(39.0, 15909.0)	(40.0, 72.0)										
ERR1755875_1	(12.0, 1.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 4.0)	(16.0, 69.0)	(17.0, 485.0)	(18.0, 1645.0)	(19.0, 4517.0)	(20.0, 9203.0)	(21.0, 14650.0)	(22.0, 20737.0)	(23.0, 26834.0)	(24.0, 33847.0)	(25.0, 41438.0)	(26.0, 47946.0)	(27.0, 54456.0)	(28.0, 60066.0)	(29.0, 64747.0)	(30.0, 71597.0)	(31.0, 81982.0)	(32.0, 94904.0)	(33.0, 109583.0)	(34.0, 121485.0)	(35.0, 129774.0)	(36.0, 122846.0)	(37.0, 87341.0)	(38.0, 28681.0)	(39.0, 2533.0)	(40.0, 13.0)									
ERR1755875_2	(14.0, 1.0)	(15.0, 2.0)	(16.0, 0.0)	(17.0, 37.0)	(18.0, 176.0)	(19.0, 778.0)	(20.0, 2334.0)	(21.0, 4777.0)	(22.0, 7740.0)	(23.0, 11814.0)	(24.0, 16875.0)	(25.0, 22848.0)	(26.0, 30673.0)	(27.0, 40107.0)	(28.0, 50399.0)	(29.0, 62823.0)	(30.0, 77663.0)	(31.0, 96077.0)	(32.0, 117826.0)	(33.0, 139780.0)	(34.0, 155522.0)	(35.0, 154433.0)	(36.0, 127575.0)	(37.0, 79907.0)	(38.0, 28140.0)	(39.0, 3064.0)	(40.0, 16.0)											
ERR1755883_1	(12.0, 1.0)	(13.0, 1.0)	(14.0, 4.0)	(15.0, 10.0)	(16.0, 28.0)	(17.0, 292.0)	(18.0, 1199.0)	(19.0, 3528.0)	(20.0, 7096.0)	(21.0, 11283.0)	(22.0, 16230.0)	(23.0, 21638.0)	(24.0, 27965.0)	(25.0, 35025.0)	(26.0, 41390.0)	(27.0, 47940.0)	(28.0, 53366.0)	(29.0, 58601.0)	(30.0, 65570.0)	(31.0, 76282.0)	(32.0, 90387.0)	(33.0, 106916.0)	(34.0, 121187.0)	(35.0, 128860.0)	(36.0, 115538.0)	(37.0, 75121.0)	(38.0, 23672.0)	(39.0, 2553.0)	(40.0, 8.0)									
ERR1755883_2	(8.0, 1.0)	(9.0, 5.0)	(10.0, 23.0)	(11.0, 23.0)	(12.0, 10.0)	(13.0, 18.0)	(14.0, 16.0)	(15.0, 16.0)	(16.0, 39.0)	(17.0, 68.0)	(18.0, 213.0)	(19.0, 868.0)	(20.0, 2550.0)	(21.0, 4910.0)	(22.0, 8181.0)	(23.0, 11951.0)	(24.0, 16613.0)	(25.0, 21946.0)	(26.0, 28830.0)	(27.0, 36422.0)	(28.0, 45598.0)	(29.0, 57165.0)	(30.0, 71011.0)	(31.0, 88851.0)	(32.0, 107963.0)	(33.0, 127541.0)	(34.0, 139902.0)	(35.0, 137330.0)	(36.0, 116980.0)	(37.0, 77051.0)	(38.0, 26731.0)	(39.0, 2856.0)	(40.0, 9.0)					
ERR1755895_1	(11.0, 1.0)	(12.0, 0.0)	(13.0, 3.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 20.0)	(17.0, 144.0)	(18.0, 570.0)	(19.0, 1605.0)	(20.0, 3195.0)	(21.0, 5079.0)	(22.0, 7017.0)	(23.0, 9284.0)	(24.0, 11642.0)	(25.0, 14412.0)	(26.0, 17416.0)	(27.0, 20564.0)	(28.0, 22933.0)	(29.0, 25119.0)	(30.0, 27081.0)	(31.0, 30825.0)	(32.0, 35743.0)	(33.0, 40854.0)	(34.0, 46314.0)	(35.0, 50881.0)	(36.0, 51373.0)	(37.0, 39473.0)	(38.0, 14366.0)	(39.0, 1093.0)	(40.0, 6.0)								
ERR1755895_2	(14.0, 1.0)	(15.0, 1.0)	(16.0, 9.0)	(17.0, 44.0)	(18.0, 196.0)	(19.0, 625.0)	(20.0, 1494.0)	(21.0, 2757.0)	(22.0, 4315.0)	(23.0, 6127.0)	(24.0, 8151.0)	(25.0, 10837.0)	(26.0, 13769.0)	(27.0, 17309.0)	(28.0, 21116.0)	(29.0, 25747.0)	(30.0, 30866.0)	(31.0, 37627.0)	(32.0, 44835.0)	(33.0, 52410.0)	(34.0, 57888.0)	(35.0, 57627.0)	(36.0, 47280.0)	(37.0, 27261.0)	(38.0, 7886.0)	(39.0, 831.0)	(40.0, 8.0)											
ERR1755908_1	(11.0, 1.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 2.0)	(16.0, 36.0)	(17.0, 373.0)	(18.0, 1448.0)	(19.0, 4428.0)	(20.0, 9190.0)	(21.0, 14416.0)	(22.0, 19781.0)	(23.0, 26089.0)	(24.0, 32576.0)	(25.0, 39622.0)	(26.0, 46648.0)	(27.0, 53422.0)	(28.0, 58181.0)	(29.0, 62411.0)	(30.0, 66468.0)	(31.0, 74902.0)	(32.0, 86414.0)	(33.0, 98943.0)	(34.0, 108912.0)	(35.0, 118378.0)	(36.0, 118117.0)	(37.0, 92337.0)	(38.0, 39715.0)	(39.0, 2236.0)	(40.0, 6.0)								
ERR1755908_2	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 1.0)	(15.0, 6.0)	(16.0, 15.0)	(17.0, 53.0)	(18.0, 285.0)	(19.0, 1050.0)	(20.0, 3100.0)	(21.0, 5779.0)	(22.0, 9149.0)	(23.0, 13378.0)	(24.0, 18891.0)	(25.0, 24790.0)	(26.0, 32201.0)	(27.0, 40544.0)	(28.0, 49384.0)	(29.0, 59451.0)	(30.0, 70997.0)	(31.0, 84695.0)	(32.0, 101243.0)	(33.0, 120510.0)	(34.0, 140504.0)	(35.0, 150600.0)	(36.0, 134465.0)	(37.0, 84390.0)	(38.0, 27128.0)	(39.0, 2435.0)	(40.0, 8.0)							
